ZONE_NUMBER,ZONE_NAME,METER_ID,METER_STATION,METER_TYPE,METER_MODEL,OPERATION_HOURS,OPERATION_DAYS,HOURLY_RATE,DAILY_RATE,MAXIMUM_HOURS,MONTHLY_UNRESERVED_RATE,MONTHLY_RESERVED_RATE,PAY_BY_PHONE,OWNER,ON_OFF_STREET,ZONE_TYPE,NUMBER_SPACES,ADDRESS,PAYMENT_METHODS,COMMENTS,Latitude,Longitude
23,133/133A Street On-Street,#069,520014451703,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,1,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,10364 133A St,Credit Card/PayByPhone,,49.190641,-122.85194
1,Gateway North,#075,520015220780,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,,7 Days/Week,1,4,All Day,,,4317,Surrey,On,On-Street Parking,222,10899 University Dr,Credit Card/PayByPhone,,49.199648,-122.851009
4,Gateway South,#077,520015220782,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,1,,2,,,4297,Surrey,On,On-Street Parking,50,13380 108 Ave,Credit Card/PayByPhone,,49.198593,-122.851014
4,Gateway South,#076,520015220781,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,1,,2,,,4297,Surrey,On,On-Street Parking,50,13380 108 Ave,Credit Card/PayByPhone,,49.198813,-122.851299
22,Green Timbers - Lot 1,,0,,,24 Hours,7 Days/Week,0,,,$85.00,,0,Surrey,Off,Surface Gravel Off-Street,26,9800 140 St,Credit Card/PAP/Invoice,Monthly Parking Only,49.180671,-122.831263
22,Green Timbers - Lot 3,,0,,,24 Hours,7 Days/Week,0,,,$85.00,,0,Surrey,Off,Surface Gravel Off-Street,40,9800 140 St,Credit Card/PAP/Invoice,Monthly Parking Only,49.180563,-122.83221
27,City Centre West,#202,500013271027,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,24 Hours,7 Days/Week,0.75,$5.00,All Day,,,5017,Surrey,Off,Surface Gravel Off-Street,10,10262 133A St,Credit Card/PayByPhone,,49.18927,-122.851959
1,Gateway North,#047,14773,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13555 Gateway Dr,Cash/Credit Card/PayByPhone,,49.201628,-122.849811
1,Gateway North,#001,14503,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13433 Gateway Dr,Cash/Credit Card/PayByPhone,,49.201033,-122.850497
1,Gateway North,#002,14504,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13468 Gateway Dr,Cash/Credit Card/PayByPhone,,49.201032,-122.849818
