Age,Gender,Education,Religion,Political,Pregnant,Catch_response,FILTER,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_Catch,Q13,Q14,Q15,Q16_Catch,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Mean_general_ds,Mean_core,Mean_Animal_reminder,Mean_Contamination
32,0,15,1,1,1,1,1,0,2,4,4,4,0,4,3,4,3,4,4,4,4,4,0,3,3,4,3,4,4,4,4,3,3,4,3.434782609,3.272727273,3.5,3.75
29,0,17,0,2,1,1,1,0,2,3,0,0,1,2,4,0,4,0,4,0,1,3,0,2,0,2,3,4,2,3,2,2,0,4,1.913043478,2.454545455,1.75,0.75
19,0,12,0,0,1,1,1,0,3,4,4,3,0,4,4,3,0,4,4,4,4,4,0,4,2,4,4,4,4,4,4,4,3,4,3.434782609,3.636363636,3.25,3.25
32,1,,3,1,1,1,0,0,0,4,4,0,0,0,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,0,4,,,,
30,0,15,0,0,1,1,1,0,3,3,4,0,0,0,2,2,0,4,4,4,3,4,0,3,3,4,3,3,4,4,4,3,4,4,2.782608696,3.090909091,2.125,3.25
33,1,15,0,1,1,1,1,1,3,3,1,0,3,4,2,3,4,2,4,4,2,3,0,2,2,4,3,4,4,1,2,2,1,2,2.434782609,2.636363636,2.5,1.75
33,1,15,0,2,1,1,1,4,3,3,4,2,0,4,3,1,0,4,4,1,2,2,0,2,1,3,3,4,3,3,2,2,1,3,2.391304348,2.363636364,2.5,2.25
19.5,1,13,1,0,1,1,1,0,4,4,4,1,1,0,0,4,0,0,4,4,0,0,0,1,0,0,1,2,2,0,0,3,0,0,1.47826087,1.727272727,0.875,2
46,1,15,0,2,1,1,1,3,2,4,2,1,3,4,4,3,0,1,4,2,3,2,0,1,1,3,1,4,3,3,3,1,0,1,2.217391304,2,2.5,2.25
34,0,15,0,2,1,1,1,4,4,4,4,4,0,4,4,4,0,2,4,4,4,3,0,3,2,4,3,4,4,3,4,2,3,3,3.173913043,2.909090909,3.5,3.25
23,0,15,2,1,1,1,1,1,0,3,4,4,2,0,2,4,2,4,4,4,4,3,0,1,2,3,1,1,4,3,4,4,3,4,2.826086957,3,2.375,3.25
26,1,15,2,0,1,1,1,0,2,1,4,0,1,4,4,3,0,0,4,4,3,3,0,4,1,4,0,3,1,4,1,1,4,2,2.304347826,2.181818182,2.125,3
30,1,15,0,2,1,1,1,4,0,2,4,0,1,0,0,3,2,0,4,4,2,3,0,1,0,1,0,2,3,3,0,2,0,3,1.739130435,2,1,2.5
56,0,15,0,2,1,1,1,3,3,4,2,0,2,3,3,3,2,0,4,4,3,2,0,4,0,1,1,3,4,4,0,3,0,4,2.47826087,2.909090909,2,2.25
36,1,18,1,1,1,1,1,2,2,3,4,4,4,4,4,4,4,3,4,3,4,4,0,2,1,4,2,4,2,2,2,2,1,3,2.826086957,2.636363636,3.125,2.75
23,1,16,0,1,1,1,1,1,0,2,1,0,0,2,4,2,0,0,4,4,0,3,0,4,4,1,1,4,4,4,1,3,3,1,1.956521739,2.363636364,1,2.75
26,0,15,2,0,1,1,1,0,3,2,4,0,3,3,4,3,0,3,4,4,4,3,0,4,1,4,4,4,4,3,4,4,4,4,3.086956522,3.454545455,2.75,2.75
45,1,17,0,2,1,1,1,2,3,2,3,1,3,4,3,2,4,3,4,3,3,3,0,1,1,3,1,4,2,2,3,2,1,2,2.347826087,2.181818182,2.75,2
30,1,17,0,0,1,1,1,0,1,3,1,1,1,4,3,3,2,3,4,3,3,1,0,1,1,2,2,3,3,3,3,2,3,3,2.434782609,2.545454545,2.5,2
30,1,15,0,2,1,1,1,3,4,1,2,0,4,3,4,0,0,3,4,2,0,1,0,1,0,3,2,4,3,2,4,4,1,3,2.043478261,2.272727273,2.25,1
19,0,12,2,0,1,1,1,2,3,4,3,2,0,3,3,3,3,4,4,4,1,3,0,2,1,4,0,4,2,1,3,2,4,4,2.52173913,2.545454545,2.75,2
63,0,15,0,2,1,1,0,0,1,3,4,0,4,3,0,3,0,3,4,3,3,4,0,4,,2,0,,1,4,0,2,2,2,,,,
62,1,17,2,0,1,1,1,0,2,0,0,0,1,1,2,3,2,0,4,4,0,2,0,0,3,1,0,1,0,0,1,2,1,1,1.304347826,1.363636364,1.125,1.5
44,0,15,0,1,1,1,1,0,0,3,4,2,2,0,3,1,4,1,4,4,4,4,0,1,3,0,0,1,3,4,3,1,0,1,2.043478261,2.181818182,1.375,3
24,0,14,0,1,1,1,1,3,2,0,3,1,2,3,1,0,0,3,4,0,3,3,0,3,1,3,2,4,2,2,3,1,3,4,2.043478261,2,2.375,1.5
35,0,12,0,2,1,1,1,4,0,2,4,1,4,1,3,3,4,1,4,0,0,4,0,2,0,4,2,4,4,2,3,2,0,3,2.043478261,2.181818182,1.75,2.25
21,0,12,2,0,1,1,1,0,3,3,4,2,1,4,4,3,0,1,4,3,4,3,0,3,3,3,3,4,4,4,3,3,3,4,3.130434783,3.181818182,2.875,3.5
19,0,12,1,0,1,1,1,0,1,4,4,2,0,4,4,3,0,4,4,4,3,4,0,4,0,4,4,4,4,4,3,4,4,4,3.130434783,3.636363636,2.625,2.75
23,0,18,0,2,1,1,1,0,1,4,4,3,1,4,4,4,2,4,4,4,3,4,0,4,4,4,3,4,4,4,4,4,3,4,3.695652174,3.909090909,3.25,4
23,1,12,0,0,1,1,1,3,0,0,0,0,1,2,0,0,2,0,4,0,3,2,0,1,1,0,1,2,3,0,2,1,0,0,1.086956522,1.090909091,1.5,0.25
40,0,14,1,1,1,1,1,1,3,1,4,0,2,0,0,3,2,3,4,3,3,3,1,1,1,4,2,4,4,1,1,1,4,2,2.173913043,2.090909091,2.25,2.25
36,1,17,0,2,1,1,1,0,4,2,2,0,1,4,3,3,4,1,4,3,2,2,0,2,0,3,1,4,3,3,2,1,1,1,2.217391304,2.090909091,2.5,2
57,1,17,0,1,1,1,1,3,1,3,0,0,1,3,3,3,3,1,4,4,3,3,0,1,2,2,2,1,1,1,2,4,1,2,2.086956522,2.545454545,1.75,1.5
18.5,1,12,2,0,1,1,1,0,3,1,4,4,3,4,4,4,0,0,4,4,4,0,0,4,0,4,3,4,4,2,4,3,4,3,2.826086957,2.545454545,3.375,2.5
30,0,18,0,2,1,1,1,3,3,4,4,1,1,0,4,0,4,3,4,1,2,4,0,2,1,3,2,4,4,1,3,1,0,2,2.347826087,2.818181818,2.125,1.5
64,1,12,0,1,1,1,1,3,4,4,4,1,1,4,2,4,4,1,4,4,4,1,1,0,1,0,0,1,4,4,3,4,0,0,2.391304348,2.181818182,2.25,3.25
30,0,15,0,1,1,1,1,3,4,4,1,0,2,4,3,3,0,4,4,2,4,4,0,4,1,2,3,4,4,3,4,3,0,2,2.869565217,3.272727273,2.75,2
46,1,15,0,1,1,1,1,0,2,2,4,2,3,4,4,4,4,3,4,4,3,4,0,2,1,4,4,4,4,4,4,4,3,3,3.173913043,3.272727273,3,3.25
39,0,12,1,0,1,1,1,0,4,4,4,3,1,4,4,2,1,0,4,4,4,3,0,3,2,2,1,4,4,4,3,3,2,3,3.173913043,3,3.5,3
54,0,12,0,2,1,1,1,3,4,4,4,1,4,4,1,0,0,0,4,4,4,3,0,1,0,2,1,4,3,0,0,1,0,3,1.956521739,2,2.375,1
40,0,18,0,2,1,0,0,0,1,4,4,2,0,4,4,3,4,4,4,4,4,4,2,2,4,3,4,4,4,4,3,4,0,3,,,,
22,0,15,0,1,1,1,1,1,0,3,4,1,2,2,2,3,3,0,4,2,3,1,0,3,2,4,1,3,4,1,1,2,3,3,2.173913043,2.181818182,2,2.5
28,1,14,0,0,1,0,0,3,0,1,2,1,3,1,1,3,3,3,4,0,2,1,2,2,2,2,2,3,2,0,2,2,0,1,,,,
57,1,15,0,2,1,1,1,3,2,1,4,0,2,3,2,2,3,1,4,2,1,1,0,2,0,2,2,3,3,1,2,3,1,1,1.869565217,1.909090909,1.875,1.75
23,0,15,1,0,1,1,1,1,3,4,3,1,0,3,2,0,0,3,4,3,0,1,0,1,1,4,2,3,3,2,3,1,3,2,1.956521739,2,2.125,1.5
53,0,12,0,2,1,1,1,0,4,4,4,0,2,4,3,4,2,4,4,4,3,3,0,2,2,3,0,3,2,1,2,2,0,1,2.652173913,2.545454545,2.75,2.75
29,1,15,0,0,1,0,0,4,1,3,0,0,4,3,3,,2,0,4,0,3,2,,1,1,2,2,3,2,2,3,2,0,1,,,,
34,1,14,0,1,1,1,1,0,2,2,0,1,0,2,3,1,3,3,4,4,1,4,0,2,3,0,0,4,2,4,0,4,2,2,2,2.363636364,1.5,2
20,0,12,0,2,1,1,1,3,4,4,2,0,0,4,4,3,0,4,4,4,3,4,0,4,2,4,4,4,4,3,4,4,2,4,3.173913043,3.636363636,2.875,2.5
24,0,15,1,0,1,1,1,0,4,4,4,3,4,4,4,2,0,4,4,4,4,4,0,3,1,4,1,4,4,1,4,4,4,4,3.130434783,3.363636364,3.375,2
19,1,12,2,0,1,1,1,0,1,0,3,2,2,3,1,3,2,0,4,4,4,2,0,1,1,1,2,4,2,2,4,2,0,2,2.173913043,1.727272727,2.75,2.25
63,0,15,0,2,1,1,1,3,4,4,3,1,4,4,4,3,2,4,4,3,4,4,0,4,1,4,4,4,3,4,4,4,4,4,3.391304348,3.545454545,3.5,2.75
